Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,76.11,76.14,73.75,74.99,41835000,74.99
2015-01-30,78.00,78.16,75.75,75.91,42477400,75.91
2015-01-29,76.85,78.02,74.21,78.00,60474100,78.00
2015-01-28,76.90,77.64,76.00,76.24,44928500,76.24
2015-01-27,76.71,76.88,75.63,75.78,19970600,75.78
2015-01-26,77.98,78.47,77.29,77.50,18753500,77.50
